iter,Region,Resource Name,EndCap,NewCap,Policy,folder,case,weeks
3,WECC_PNW,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,onshore_wind,5808.0999999999985,554.0999999999998,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,other_renewables,91.85699999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,pumped_hydro,313.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_PNW,solar,69543.84400000001,69333.944,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,NGCCS,111.889,111.889,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,ZCF,5553.3369999999995,3658.333,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,battery,1464.729,1464.729,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,flexible_load,5226.18,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,hydro,961.87,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,hydrogen_storage,0.024,0.024,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,nuclear,0.006999999999999999,0.006999999999999999,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,onshore_wind,43687.621,37935.921,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,other_renewables,9.676,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,pumped_hydro,562.5,0.0,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
3,WECC_WYCO,solar,6243.099000000001,5649.999000000001,p2_2045_high_mid_REF_high,MGA_0.05_17,max,january_test
4,CA_N,NGCCS,17040.907,17040.907,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,ZCF,4314.141,0.07400000000000001,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,battery,300.274,300.274,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,flexible_load,7498.595,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,hydro,7274.007,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,hydrogen_storage,0.005,0.005,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,offshore_wind,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,onshore_wind,1327.6039999999998,0.004,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,other_renewables,942.3019999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,pumped_hydro,1791.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_N,solar,9476.015,6688.915,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,NGCCS,0.04,0.04,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,ZCF,6203.309000000001,1.2289999999999999,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,battery,34310.383,34310.383,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,flexible_load,10523.132,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,hydro,1396.2,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,hydrogen_storage,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,nuclear,0.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,onshore_wind,4735.670000000002,0.07,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,other_renewables,804.667,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,pumped_hydro,1665.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,CA_S,solar,76933.416,67413.416,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,ZCF,3326.105,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,battery,7135.54,7135.54,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,flexible_load,3946.495,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,hydro,4647.835,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,hydrogen_storage,0.026000000000000002,0.026000000000000002,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,nuclear,0.01,0.01,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,onshore_wind,34145.557,30251.657000000003,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,other_renewables,400.29400000000004,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_N,solar,26960.478000000003,25774.778000000002,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,NGCCS,0.14800000000000002,0.14800000000000002,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,ZCF,4633.476,0.1,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,battery,1907.934,1907.934,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,flexible_load,7852.401999999999,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,hydro,3960.0,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,hydrogen_storage,620.174,620.174,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,nuclear,4003.007,0.008,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,onshore_wind,59080.829,57845.72900000001,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,other_renewables,18.294,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,pumped_hydro,216.3,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_NMAZ,solar,6266.578000000001,0.17800000000000002,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
4,WECC_PNW,ZCF,2325.998,0.0,p2_2045_high_mid_REF_high,MGA_0.05_3,max,january_test
